Survey_ID,SurveyYear,StateID,Commodity,DataItem,Value,Volume,UnitCost,Measure
10361,1987,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",11775000,150000,$78.50,TONS
10362,1987,1,HAY,"HAY - PRODUCTION, MEASURED IN $",93345000,1470000,$63.50,TONS
10363,1987,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1750000,1250000,$1.40,BU
10364,1987,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2059000,1440000,$1.43,BU
10365,1987,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",60343000,10440000,$5.78,BU
10366,1987,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",13175000,5270000,$2.50,BU
10367,1987,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",13175000,5270000,$2.50,BU
10045,1988,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",20944000,7480000,$2.80,BU
10046,1988,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",14280000,136000,$105.00,TONS
10047,1988,1,HAY,"HAY - PRODUCTION, MEASURED IN $",95250000,1500000,$63.50,TONS
10048,1988,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2145000,1100000,$1.95,BU
10049,1988,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2645000,1025000,$2.58,BU
10050,1988,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",108015000,14250000,$7.58,BU
10051,1988,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",28380000,8600000,$3.30,BU
10052,1988,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",28380000,8600000,$3.30,BU
9731,1989,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",40095000,14580000,$2.75,BU
9732,1989,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",13440000,140000,$96.00,TONS
9733,1989,1,HAY,"HAY - PRODUCTION, MEASURED IN $",92400000,1540000,$60.00,TONS
9734,1989,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1719000,1375000,$1.25,BU
9735,1989,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",3150000,1500000,$2.10,BU
9736,1989,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",68708000,11970000,$5.74,BU
9737,1989,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",23100000,6600000,$3.50,BU
9738,1989,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",23100000,6600000,$3.50,BU
9422,1990,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",37445000,13920000,$2.69,BU
9423,1990,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",13414000,139000,$96.50,TONS
9424,1990,1,HAY,"HAY - PRODUCTION, MEASURED IN $",68625000,1125000,$61.00,TONS
9425,1990,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1863000,1250000,$1.49,BU
9426,1990,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2247000,990000,$2.27,BU
9427,1990,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",44057000,7480000,$5.89,BU
9429,1990,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",20283000,6650000,$3.05,BU
9428,1990,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",20283000,6650000,$3.05,BU
9114,1991,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",43680000,16800000,$2.60,BU
9115,1991,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",11956000,196000,$61.00,TONS
9116,1991,1,HAY,"HAY - PRODUCTION, MEASURED IN $",79443000,1638000,$48.50,TONS
9117,1991,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1409000,875000,$1.61,BU
9118,1991,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2935000,1265000,$2.32,BU
9119,1991,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",45080000,8050000,$5.60,BU
9120,1991,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",6655000,2750000,$2.42,BU
9121,1991,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",6655000,2750000,$2.42,BU
8804,1992,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",65166000,27730000,$2.35,BU
8805,1992,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",18480000,224000,$82.50,TONS
8806,1992,1,HAY,"HAY - PRODUCTION, MEASURED IN $",76041000,1491000,$51.00,TONS
8807,1992,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2850000,1500000,$1.90,BU
8808,1992,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2588000,1250000,$2.07,BU
8809,1992,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",44083000,7830000,$5.63,BU
8811,1992,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",13794000,4180000,$3.30,BU
8810,1992,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",13794000,4180000,$3.30,BU
8495,1993,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",36300000,13750000,$2.64,BU
8496,1993,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",16713000,175000,$95.50,TONS
8497,1993,1,HAY,"HAY - PRODUCTION, MEASURED IN $",113760000,1440000,$79.00,TONS
8498,1993,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2228000,1350000,$1.65,BU
8499,1993,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2198000,817000,$2.69,BU
8500,1993,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",45312000,7080000,$6.40,BU
8501,1993,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",9206000,3230000,$2.85,BU
8502,1993,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",9206000,3230000,$2.85,BU
8186,1994,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",62400000,24960000,$2.50,BU
8187,1994,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",22764000,271000,$84.00,TONS
8188,1994,1,HAY,"HAY - PRODUCTION, MEASURED IN $",92637000,1971000,$47.00,TONS
8189,1994,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2145000,1650000,$1.30,BU
8190,1994,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",2241000,900000,$2.49,BU
8191,1994,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",51669000,9145000,$5.65,BU
8192,1994,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",14820000,4560000,$3.25,BU
8193,1994,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",14820000,4560000,$3.25,BU
7878,1995,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",57750000,16500000,$3.50,BU
7879,1995,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",14580000,162000,$90.00,TONS
7880,1995,1,HAY,"HAY - PRODUCTION, MEASURED IN $",75600000,1512000,$50.00,TONS
7881,1995,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1489000,805000,$1.85,BU
7882,1995,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",915000,320000,$2.86,BU
7883,1995,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",38340000,5400000,$7.10,BU
7885,1995,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",11232000,2880000,$3.90,BU
7884,1995,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",11232000,2880000,$3.90,BU
7570,1996,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",76383000,22140000,$3.45,BU
7571,1996,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",30849000,273000,$113.00,TONS
7572,1996,1,HAY,"HAY - PRODUCTION, MEASURED IN $",85848000,1752000,$49.00,TONS
7573,1996,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1688000,675000,$2.50,BU
7574,1996,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",1507000,550000,$2.74,BU
7575,1996,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",76738000,10370000,$7.40,BU
7576,1996,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",15840000,3520000,$4.50,BU
7577,1996,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",15840000,3520000,$4.50,BU
7259,1997,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",61335000,21750000,$2.82,BU
7260,1997,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",21756000,196000,$111.00,TONS
7261,1997,1,HAY,"HAY - PRODUCTION, MEASURED IN $",81451000,1733000,$47.00,TONS
7262,1997,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1632000,960000,$1.70,BU
7263,1997,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",664000,300000,$2.21,BU
7264,1997,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",56525000,8500000,$6.65,BU
7265,1997,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",12096000,3780000,$3.20,BU
7266,1997,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",12096000,3780000,$3.20,BU
6947,1998,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",29106000,12600000,$2.31,BU
6948,1998,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",21312000,192000,$111.00,TONS
6949,1998,1,HAY,"HAY - PRODUCTION, MEASURED IN $",83475000,1575000,$53.00,TONS
6950,1998,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1673000,816000,$2.05,BU
6951,1998,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",620000,270000,$2.30,BU
6952,1998,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",37312000,7040000,$5.30,BU
6954,1998,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",9461000,3570000,$2.65,BU
6953,1998,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",9461000,3570000,$2.65,BU
6635,1999,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",46556000,20600000,$2.26,BU
6636,1999,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",17775000,225000,$79.00,TONS
6637,1999,1,HAY,"HAY - PRODUCTION, MEASURED IN $",101200000,1840000,$55.00,TONS
6638,1999,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1496000,880000,$1.70,BU
6639,1999,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",576000,294000,$1.96,BU
6640,1999,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",15360000,3200000,$4.80,BU
6641,1999,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",10368000,4320000,$2.40,BU
6642,1999,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",10368000,4320000,$2.40,BU
6320,2000,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",23166000,10725000,$2.16,BU
6321,2000,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",17664000,192000,$92.00,TONS
6322,2000,1,HAY,"HAY - PRODUCTION, MEASURED IN $",72576000,1296000,$56.00,TONS
6323,2000,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",546000,280000,$1.95,BU
6324,2000,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",13680000,2880000,$4.75,BU
6326,2000,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",11421000,4860000,$2.35,BU
6325,2000,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",11421000,4860000,$2.35,BU
6005,2001,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",37718000,16050000,$2.35,BU
6006,2001,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",23940000,315000,$76.00,TONS
6007,2001,1,HAY,"HAY - PRODUCTION, MEASURED IN $",131560000,2392000,$55.00,TONS
6008,2001,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",882000,420000,$2.10,BU
6009,2001,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",21735000,4725000,$4.60,BU
6011,2001,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",8568000,3360000,$2.55,BU
6010,2001,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",8568000,3360000,$2.55,BU
5690,2002,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",43085000,15840000,$2.72,BU
5691,2002,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",16673000,195000,$85.50,TONS
5692,2002,1,HAY,"HAY - PRODUCTION, MEASURED IN $",103455000,1815000,$57.00,TONS
5693,2002,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",643000,280000,$2.30,BU
5694,2002,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",20646000,3720000,$5.55,BU
5695,2002,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",7440000,2400000,$3.10,BU
5696,2002,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",7440000,2400000,$3.10,BU
5375,2003,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",54705000,23180000,$2.36,BU
5376,2003,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",32210000,327000,$98.50,TONS
5377,2003,1,HAY,"HAY - PRODUCTION, MEASURED IN $",117624000,2028000,$58.00,TONS
5378,2003,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",579000,252000,$2.30,BU
5379,2003,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",41760000,5760000,$7.25,BU
5380,2003,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",9840000,3075000,$3.20,BU
5381,2003,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",9840000,3075000,$3.20,BU
5060,2004,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",59483000,23985000,$2.48,BU
5061,2004,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",25662000,282000,$91.00,TONS
5062,2004,1,HAY,"HAY - PRODUCTION, MEASURED IN $",130815000,2295000,$57.00,TONS
5063,2004,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",538000,240000,$2.24,BU
5064,2004,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",41563000,6650000,$6.25,BU
5065,2004,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",10224000,2880000,$3.55,BU
5066,2004,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",10224000,2880000,$3.55,BU
4747,2005,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",59500000,23800000,$2.50,BU
4748,2005,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",22413000,275000,$81.50,TONS
4749,2005,1,HAY,"HAY - PRODUCTION, MEASURED IN $",112347000,1971000,$57.00,TONS
4750,2005,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1760000,1100000,$1.60,BU
4751,2005,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",588000,300000,$1.96,BU
4752,2005,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",28471000,4785000,$5.95,BU
4754,2005,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",6975000,2250000,$3.10,BU
4753,2005,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",6975000,2250000,$3.10,BU
203,2021,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",0,,,
204,2021,,OATS,"OATS - PRODUCTION, MEASURED IN $",0,,,
205,2021,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",0,,,
206,2021,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",0,,,
4434,2006,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",34571000,11880000,$2.91,BU
4435,2006,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",20815000,230000,$90.50,TONS
4436,2006,1,HAY,"HAY - PRODUCTION, MEASURED IN $",97920000,1440000,$68.00,TONS
4437,2006,1,OATS,"OATS - PRODUCTION, MEASURED IN $",760000,400000,$1.90,BU
4438,2006,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",532000,190000,$2.80,BU
4439,2006,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",20550000,3000000,$6.85,BU
4440,2006,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",10132000,2565000,$3.95,BU
4441,2006,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",10132000,2565000,$3.95,BU
4122,2007,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",99154000,21840000,$4.54,BU
4123,2007,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",20385000,151000,$135.00,TONS
4124,2007,1,HAY,"HAY - PRODUCTION, MEASURED IN $",146664000,1512000,$97.00,TONS
4125,2007,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2227000,928000,$2.40,BU
4126,2007,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",941000,240000,$3.92,BU
4127,2007,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",44289000,3885000,$11.40,BU
4129,2007,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",16918000,3192000,$5.30,BU
4128,2007,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",16918000,3192000,$5.30,BU
3808,2008,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",128554000,24440000,$5.26,BU
3809,2008,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",27244000,139000,$196.00,TONS
3810,2008,1,HAY,"HAY - PRODUCTION, MEASURED IN $",194040000,1980000,$98.00,TONS
3811,2008,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1988000,750000,$2.65,BU
3812,2008,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",1086000,318000,$3.42,BU
3813,2008,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",126175000,12250000,$10.30,BU
3814,2008,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",88715000,14910000,$5.95,BU
3815,2008,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",88715000,14910000,$5.95,BU
3505,2009,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",105030000,27000000,$3.89,BU
3506,2009,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",14706000,114000,$129.00,TONS
3507,2009,1,HAY,"HAY - PRODUCTION, MEASURED IN $",142080000,1920000,$74.00,TONS
3508,2009,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1265000,550000,$2.30,BU
3509,2009,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",172000000,17200000,$10.00,BU
3510,2009,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",36720000,8640000,$4.25,BU
3511,2009,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",36720000,8640000,$4.25,BU
3202,2010,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",145763000,28750000,$5.07,BU
3203,2010,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",19668000,149000,$132.00,TONS
3204,2010,1,HAY,"HAY - PRODUCTION, MEASURED IN $",159120000,1872000,$85.00,TONS
3205,2010,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1188000,495000,$2.40,BU
3206,2010,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",99567000,8970000,$11.10,BU
3207,2010,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",22000000,4400000,$5.00,BU
3208,2010,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",22000000,4400000,$5.00,BU
2903,2011,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",180120000,28500000,$6.32,BU
2904,2011,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",43860000,215000,$204.00,TONS
2905,2011,1,HAY,"HAY - PRODUCTION, MEASURED IN $",155520000,1920000,$81.00,TONS
2906,2011,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2205000,900000,$2.45,BU
2907,2011,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",116820000,9735000,$12.00,BU
2908,2011,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",95980000,13870000,$6.92,BU
2909,2011,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",95980000,13870000,$6.92,BU
2606,2012,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",207574000,28910000,$7.18,BU
2607,2012,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",45400000,227000,$200.00,TONS
2608,2012,1,HAY,"HAY - PRODUCTION, MEASURED IN $",183352000,2236000,$82.00,TONS
2609,2012,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2764000,825000,$3.35,BU
2610,2012,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",220095000,15075000,$14.60,BU
2611,2012,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",72585000,10915000,$6.65,BU
2612,2012,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",72585000,10915000,$6.65,BU
2308,2013,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",204249000,43365000,$4.71,BU
2309,2013,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",35970000,165000,$218.00,TONS
2310,2013,1,HAY,"HAY - PRODUCTION, MEASURED IN $",187704000,2133000,$88.00,TONS
2311,2013,1,OATS,"OATS - PRODUCTION, MEASURED IN $",4680000,1200000,$3.90,BU
2312,2013,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",241295000,18705000,$12.90,BU
2314,2013,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",134705000,19665000,$6.85,BU
2313,2013,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",134705000,19665000,$6.85,BU
2008,2014,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",169931000,45315000,$3.75,BU
2009,2014,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",35100000,193000,$181.87,TONS
2010,2014,1,HAY,"HAY - PRODUCTION, MEASURED IN $",222600000,2100000,$106.00,TONS
2011,2014,1,OATS,"OATS - PRODUCTION, MEASURED IN $",4875000,975000,$5.00,BU
2012,2014,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",188000000,18800000,$10.00,BU
2014,2014,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",92374000,15525000,$5.95,BU
2013,2014,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",92374000,15525000,$5.95,BU
